box,week,date,temp,food,male,female,unknown,total,sex ratio
16,71,03/11/15,30,bad,30,37,4,71,81.08
1,72,09/11/15,27,good,15,16,2,33,93.75
2,72,09/11/15,27,bad,20,12,0,32,166.67
3,72,09/11/15,30,good,40,65,1,106,61.54
4,72,09/11/15,30,bad,51,66,1,118,77.27
6,72,09/11/15,33,bad,6,10,0,16,60
7,72,09/11/15,27,good,11,16,1,28,68.75
8,72,09/11/15,27,bad,14,15,0,29,93.33
9,72,09/11/15,30,good,28,46,0,74,60.87
10,72,09/11/15,30,bad,52,64,1,117,81.25
12,72,09/11/15,33,bad,6,6,0,12,100
13,72,09/11/15,27,good,18,26,1,45,69.23
14,72,09/11/15,27,bad,6,14,5,25,42.86
15,72,09/11/15,30,good,55,66,0,121,83.33
16,72,09/11/15,30,bad,46,63,0,109,73.02
1,73,16/11/15,27,good,10,7,1,18,142.86
2,73,16/11/15,27,bad,29,34,2,65,85.29
3,73,16/11/15,30,good,56,67,2,125,83.58
4,73,16/11/15,30,bad,52,64,1,117,81.25
6,73,16/11/15,33,bad,12,8,0,20,150
7,73,16/11/15,27,good,7,19,2,28,36.84
8,73,16/11/15,27,bad,16,16,0,32,100
9,73,16/11/15,30,good,47,63,1,111,74.6
10,73,16/11/15,30,bad,54,73,3,130,73.97
12,73,16/11/15,33,bad,17,13,0,30,130.77
13,73,16/11/15,27,good,20,34,0,54,58.82
14,73,16/11/15,27,bad,7,4,1,12,175
15,73,16/11/15,30,good,39,75,4,118,52
16,73,16/11/15,30,bad,57,78,2,137,73.08
1,74,23/11/15,27,good,19,23,1,43,82.61
2,74,23/11/15,27,bad,41,31,0,72,132.26
3,74,23/11/15,30,good,56,69,2,127,81.16
4,74,23/11/15,30,bad,31,54,8,93,57.41
6,74,23/11/15,33,bad,6,0,0,6,NA
7,74,23/11/15,27,good,30,38,3,71,78.95
8,74,23/11/15,27,bad,29,34,0,63,85.29
9,74,23/11/15,30,good,31,28,0,59,110.71
10,74,23/11/15,30,bad,59,74,6,139,79.73
12,74,23/11/15,33,bad,17,29,0,46,58.62
13,74,23/11/15,27,good,33,35,1,69,94.29
14,74,23/11/15,27,bad,33,36,1,70,91.67
15,74,23/11/15,30,good,35,30,4,69,116.67
16,74,23/11/15,30,bad,53,56,2,111,94.64
1,75,01/12/15,27,good,39,39,3,81,100
2,75,01/12/15,27,bad,37,38,3,78,97.37
3,75,01/12/15,30,good,66,97,6,169,68.04
4,75,01/12/15,30,bad,54,68,1,123,79.41
6,75,01/12/15,33,bad,15,9,2,26,166.67
7,75,01/12/15,27,good,17,25,0,42,68
8,75,01/12/15,27,bad,38,38,0,76,100
9,75,01/12/15,30,good,35,38,2,75,92.11
10,75,01/12/15,30,bad,85,102,2,189,83.33
12,75,01/12/15,33,bad,26,18,0,44,144.44
13,75,01/12/15,27,good,19,31,1,51,61.29
14,75,01/12/15,27,bad,61,69,5,135,88.41
15,75,01/12/15,30,good,58,71,2,131,81.69
16,75,01/12/15,30,bad,42,74,3,119,56.76
1,76,07/12/15,27,good,22,21,0,43,104.76
2,76,07/12/15,27,bad,26,25,0,51,104
3,76,07/12/15,30,good,68,69,1,138,98.55
4,76,07/12/15,30,bad,91,104,1,196,87.5
6,76,07/12/15,33,bad,16,26,1,43,61.54
7,76,07/12/15,27,good,10,3,0,13,333.33
8,76,07/12/15,27,bad,43,36,0,79,119.44
9,76,07/12/15,30,good,24,52,0,76,46.15
10,76,07/12/15,30,bad,81,109,1,191,74.31
12,76,07/12/15,33,bad,8,10,0,18,80
13,76,07/12/15,27,good,24,29,0,53,82.76
14,76,07/12/15,27,bad,51,59,0,110,86.44
15,76,07/12/15,30,good,105,66,0,171,159.09
16,76,07/12/15,30,bad,67,102,3,172,65.69
1,77,14/12/15,27,good,21,29,2,52,72.41
2,77,14/12/15,27,bad,30,31,3,64,96.77
3,77,14/12/15,30,good,97,97,1,195,100
4,77,14/12/15,30,bad,73,70,0,143,104.29
6,77,14/12/15,33,bad,10,13,0,23,76.92
7,77,14/12/15,27,good,4,2,0,6,200
8,77,14/12/15,27,bad,28,31,0,59,90.32
9,77,14/12/15,30,good,87,106,0,193,82.08
10,77,14/12/15,30,bad,102,109,0,211,93.58
12,77,14/12/15,33,bad,4,4,0,8,100
13,77,14/12/15,27,good,34,42,0,76,80.95
14,77,14/12/15,27,bad,52,46,0,98,113.04
15,77,14/12/15,30,good,98,122,2,222,80.33
16,77,14/12/15,30,bad,58,63,0,121,92.06
1,78,21/12/15,27,good,19,24,0,43,79.17
2,78,21/12/15,27,bad,39,31,4,74,125.81
3,78,21/12/15,30,good,50,71,2,123,70.42
4,78,21/12/15,30,bad,46,50,12,108,92
6,78,21/12/15,33,bad,17,15,0,32,113.33
7,78,21/12/15,27,good,0,2,0,2,0
8,78,21/12/15,27,bad,19,29,1,49,65.52
9,78,21/12/15,30,good,39,58,0,97,67.24
10,78,21/12/15,30,bad,55,63,9,127,87.3
12,78,21/12/15,33,bad,10,6,0,16,166.67
13,78,21/12/15,27,good,29,38,0,67,76.32
14,78,21/12/15,27,bad,24,29,0,53,82.76
15,78,21/12/15,30,good,51,63,5,119,80.95
16,78,21/12/15,30,bad,26,49,9,84,53.06
1,79,28/12/15,27,good,27,34,1,62,79.41
2,79,28/12/15,27,bad,36,50,4,90,72
3,79,28/12/15,30,good,62,70,0,132,88.57
4,79,28/12/15,30,bad,15,21,3,39,71.43
6,79,28/12/15,33,bad,21,11,0,32,190.91
7,79,28/12/15,27,good,5,10,0,15,50
8,79,28/12/15,27,bad,24,18,3,45,133.33
9,79,28/12/15,30,good,25,32,1,58,78.13
10,79,28/12/15,30,bad,22,23,1,46,95.65
12,79,28/12/15,33,bad,20,14,1,35,142.86
13,79,28/12/15,27,good,31,33,1,65,93.94
14,79,28/12/15,27,bad,20,12,0,32,166.67
15,79,28/12/15,30,good,47,50,7,104,94
16,79,28/12/15,30,bad,38,39,4,81,97.44
1,80,05/01/16,27,good,60,71,1,132,84.51
2,80,05/01/16,27,bad,41,50,1,92,82
3,80,05/01/16,30,good,51,70,1,122,72.86
4,80,05/01/16,30,bad,39,54,2,95,72.22
6,80,05/01/16,33,bad,8,19,0,27,42.11
7,80,05/01/16,27,good,12,18,0,30,66.67
8,80,05/01/16,27,bad,27,18,0,45,150
9,80,05/01/16,30,good,32,58,2,92,55.17
10,80,05/01/16,30,bad,41,50,3,94,82
12,80,05/01/16,33,bad,15,16,0,31,93.75
13,80,05/01/16,27,good,55,61,1,117,90.16
14,80,05/01/16,27,bad,46,37,4,87,124.32
15,80,05/01/16,30,good,48,95,4,147,50.53
16,80,05/01/16,30,bad,57,74,0,131,77.03
1,81,11/01/16,27,good,57,69,7,133,82.61
2,81,11/01/16,27,bad,40,32,1,73,125
3,81,11/01/16,30,good,52,84,1,137,61.9
4,81,11/01/16,30,bad,31,57,2,90,54.39
6,81,11/01/16,33,bad,2,6,0,8,33.33
7,81,11/01/16,27,good,5,3,0,8,166.67
8,81,11/01/16,27,bad,29,20,1,50,145
9,81,11/01/16,30,good,54,69,1,124,78.26
10,81,11/01/16,30,bad,39,52,1,92,75
12,81,11/01/16,33,bad,18,15,0,33,120
13,81,11/01/16,27,good,47,61,7,115,77.05
14,81,11/01/16,27,bad,60,38,2,100,157.89
15,81,11/01/16,30,good,93,80,3,176,116.25
16,81,11/01/16,30,bad,41,38,1,80,107.89
1,82,18/01/16,27,good,NA,NA,NA,NA,NA
2,82,18/01/16,27,bad,NA,NA,NA,NA,NA
3,82,18/01/16,30,good,NA,NA,NA,NA,NA
4,82,18/01/16,30,bad,NA,NA,NA,NA,NA
6,82,18/01/16,33,bad,NA,NA,NA,NA,NA
7,82,18/01/16,27,good,NA,NA,NA,NA,NA
8,82,18/01/16,27,bad,NA,NA,NA,NA,NA
9,82,18/01/16,30,good,NA,NA,NA,NA,NA
10,82,18/01/16,30,bad,NA,NA,NA,NA,NA
12,82,18/01/16,33,bad,NA,NA,NA,NA,NA
13,82,18/01/16,27,good,NA,NA,NA,NA,NA
14,82,18/01/16,27,bad,NA,NA,NA,NA,NA
15,82,18/01/16,30,good,NA,NA,NA,NA,NA
16,82,18/01/16,30,bad,NA,NA,NA,NA,NA
1,83,25/01/16,27,good,53,74,16,143,71.62
2,83,25/01/16,27,bad,54,35,2,91,154.29
3,83,25/01/16,30,good,94,112,1,207,83.93
4,83,25/01/16,30,bad,110,100,2,212,110
6,83,25/01/16,33,bad,13,10,0,23,130
7,83,25/01/16,27,good,5,1,0,6,500
8,83,25/01/16,27,bad,32,29,0,61,110.34
9,83,25/01/16,30,good,111,126,2,239,88.1
10,83,25/01/16,30,bad,154,124,0,278,124.19
12,83,25/01/16,33,bad,31,32,0,63,96.88
13,83,25/01/16,27,good,85,81,11,177,104.94
14,83,25/01/16,27,bad,102,68,3,173,150
15,83,25/01/16,30,good,138,142,4,284,97.18
16,83,25/01/16,30,bad,140,156,4,300,89.74
